2026-06-03 19:09:04,140 | INFO | framework | Execution completed. Summary={'total': 11, 'passed': 10, 'failed': 1, 'pass_percent': 90.91}
2026-06-04 08:55:29,001 | INFO | framework | Execution started at 2026-06-04T08:55:29.001702
2026-06-04 08:55:29,164 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-04 08:55:29,290 | INFO | framework | Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-04 08:56:04,705 | INFO | framework | Execution completed. Summary={'total': 11, 'passed': 6, 'failed': 5, 'pass_percent': 54.55}
2026-06-04 09:13:49,721 | INFO | framework | Execution started at 2026-06-04T09:13:49.721263
2026-06-04 09:13:49,980 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-04 09:13:50,144 | INFO | framework | Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-04 09:13:53,919 | INFO | framework | Execution completed. Summary={'total': 11, 'passed': 9, 'failed': 2, 'pass_percent': 81.82}
2026-06-04 09:27:51,051 | INFO | framework | Execution started at 2026-06-04T09:27:51.051591
2026-06-04 09:27:51,292 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-04 09:27:51,429 | INFO | framework | Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-04 09:36:30,756 | INFO | framework | Execution started at 2026-06-04T09:36:30.756556
2026-06-04 09:36:30,953 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-04 09:36:31,084 | INFO | framework | Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-04 09:36:48,602 | INFO | framework | Execution completed. Summary={'total': 11, 'passed': 10, 'failed': 1, 'pass_percent': 90.91}
2026-06-04 09:41:41,454 | INFO | framework | Execution started at 2026-06-04T09:41:41.454570
2026-06-04 09:41:41,666 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-04 09:41:41,824 | INFO | framework | Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-04 09:41:59,603 | INFO | framework | Execution completed. Summary={'total': 10, 'passed': 10, 'failed': 0, 'pass_percent': 100.0}
2026-06-04 13:25:39,092 | INFO | framework | Enabled services: cas, acquiring, merchant_cas
2026-06-04 13:25:39,094 | INFO | framework | Execution started at 2026-06-04T13:25:39.094419
2026-06-04 13:25:39,144 | INFO | framework | [cas] 10 test cases loaded
2026-06-04 13:25:39,656 | INFO | framework | Execution completed. Summary={'total': 10, 'passed': 2, 'failed': 8, 'pass_percent': 20.0}
2026-06-04 13:35:39,683 | INFO | framework | Enabled services: cas, acquiring, merchant_cas
2026-06-04 13:35:39,684 | INFO | framework | Execution started at 2026-06-04T13:35:39.684858
2026-06-04 13:35:39,720 | INFO | framework | [cas] 10 test cases loaded
2026-06-04 13:35:40,425 | INFO | framework | Execution completed. Summary={'total': 10, 'passed': 2, 'failed': 8, 'pass_percent': 20.0}
2026-06-05 10:32:10,048 | INFO | framework | Enabled services: cas, acquiring, merchant_cas
2026-06-05 10:32:10,049 | INFO | framework | Execution started at 2026-06-05T10:32:10.049409
2026-06-05 10:32:10,065 | INFO | framework | Loaded 10 testcase(s) from service=cas, file=sit_testcases.xlsx, sheet=SIT
2026-06-05 10:32:10,071 | INFO | framework | Loaded 4 testcase(s) from service=acquiring, file=sit_testcases_acquiring.xlsx, sheet=ACQUIRING
2026-06-05 10:32:10,078 | INFO | framework | Loaded 4 testcase(s) from service=merchant_cas, file=sit_testcases_merchant_cas.xlsx, sheet=MERCHANT_CAS
2026-06-05 10:32:10,078 | INFO | framework | [cas] 10 test cases loaded
2026-06-05 10:32:10,078 | INFO | framework | [acquiring] 4 test cases loaded
2026-06-05 10:32:10,079 | INFO | framework | [merchant_cas] 4 test cases loaded
2026-06-05 10:32:10,443 | WARNING | framework | [acquiring] Auth testcase failed. tc_id=ACQ_AUTH_001. Subsequent APIs may run without bearer token.
2026-06-05 10:32:10,450 | WARNING | framework | [merchant_cas] Auth testcase failed. tc_id=MCAS_AUTH_001. Subsequent APIs may run without bearer token.
2026-06-05 10:32:10,467 | INFO | framework | Execution completed. Summary={'total': 18, 'passed': 2, 'failed': 16, 'pass_percent': 11.11}
2026-06-05 10:33:23,283 | INFO | framework | Enabled services: cas, acquiring, merchant_cas
2026-06-05 10:33:23,284 | INFO | framework | Execution started at 2026-06-05T10:33:23.284552
2026-06-05 10:33:23,298 | INFO | framework | Loaded 10 testcase(s) from service=cas, file=sit_testcases.xlsx, sheet=SIT
2026-06-05 10:33:23,304 | INFO | framework | Loaded 0 testcase(s) from service=acquiring, file=sit_testcases_acquiring.xlsx, sheet=ACQUIRING
2026-06-05 10:33:23,309 | INFO | framework | Loaded 0 testcase(s) from service=merchant_cas, file=sit_testcases_merchant_cas.xlsx, sheet=MERCHANT_CAS
2026-06-05 10:33:23,310 | INFO | framework | [cas] 10 test cases loaded
2026-06-05 10:33:23,668 | INFO | framework | Execution completed. Summary={'total': 10, 'passed': 2, 'failed': 8, 'pass_percent': 20.0}
2026-06-05 10:38:34,495 | INFO | framework | Enabled services: acquiring, cas, merchant_cas
2026-06-05 10:38:34,496 | INFO | framework | Execution started at 2026-06-05T10:38:34.496727
2026-06-05 10:38:34,525 | INFO | framework | Loaded 10 testcase(s) from service=cas, file=sit_testcases.xlsx, sheet=SIT
2026-06-05 10:38:34,538 | INFO | framework | Loaded 0 testcase(s) from service=acquiring, file=sit_testcases_acquiring.xlsx, sheet=ACQUIRING
